카테고리,상품명,홍보문구,추천,가격,이미지,링크,등록일
건강노트,"아나파랙틴 관절엔 UP 19.2g, 40정, 1개",,,59000,https://plusitem.github.io/coupang-shop/images/products/아나파랙틴_관절엔_UP_19_2g_40정_1개_f9c93478.gif,https://link.coupang.com/a/gbEDNoiGku,2026-08-13
건강노트,"종근당 정품 칼슘 앤 마그네슘 비타민D 아연, 180정, 1개",,,13710,https://plusitem.github.io/coupang-shop/images/products/종근당_정품_칼슘_앤_마그네슘_비타민D_아연_180정_1개_c1a7af1b.gif,https://link.coupang.com/a/gbEKV2BDqe,2026-08-13
득템방,"구월스 무타공 행주걸이 주방 보조 조리대 접이식 테이블 선반, 1개",,,17300,https://plusitem.github.io/coupang-shop/images/products/구월스_무타공_행주걸이_주방_보조_조리대_접이식_테이블_선반_1개_e2223fc2.gif,https://link.coupang.com/a/gbFbhk4IOi,2026-08-13
득템방,"쟈오시 304 스텐 기둥식 식기건조대 확장형 폭조절 가능 무타공 싱크 선반, 1개, 올인원 모듈, 1단",,,88800,https://plusitem.github.io/coupang-shop/images/products/쟈오시_304_스텐_기둥식_식기건조대_확장형_폭조절_가능_무타공_싱크_선반_1개_올인원_모듈_1단_d2c26910.gif,https://link.coupang.com/a/gbGh8R0OmO,2026-08-13
득템방,"마요미 일본 다용도 만능 채칼, 1개, 화이트",,,23500,https://plusitem.github.io/coupang-shop/images/products/마요미_일본_다용도_만능_채칼_1개_화이트_e74701f4.gif,https://link.coupang.com/a/gbGxflWHUi,2026-08-13
건강노트,"뉴트리코스트 NMN 500mg 캡슐, 60개입, 1개, 60정",,,26880,https://plusitem.github.io/coupang-shop/images/products/뉴트리코스트_NMN_500mg_캡슐_60개입_1개_60정_1479933f.gif,https://link.coupang.com/a/gbGKAAPC3M,2026-08-13
건강노트,"마이프로틴 임팩트 웨이 프로틴 흑당밀크티향 WPC 포대유청 농축유청 단백질, 1kg, 1개",,,72900,https://plusitem.github.io/coupang-shop/images/products/마이프로틴_임팩트_웨이_프로틴_흑당밀크티향_WPC_포대유청_농축유청_단백질_1kg_1개_fdcbbecd.gif,https://link.coupang.com/a/gbGZgPAAKG,2026-08-13
건강노트,"G7 퓨어블랙, 415개입, 1세트, 2g",,,67900,https://plusitem.github.io/coupang-shop/images/products/G7_퓨어블랙_415개입_1세트_2g_6a6a11eb.gif,https://link.coupang.com/a/gbJPs5fNJc,2026-08-13
득템방,"벨로튼 스테인리스 양방향 다용도 만능 채칼, 1개, 스테인레스",,,9600,https://plusitem.github.io/coupang-shop/images/products/벨로튼_스테인리스_양방향_다용도_만능_채칼_1개_스테인레스_e6e313d9.gif,https://link.coupang.com/a/gbLbA72UOy,2026-08-13
득템방,[바이나나] 무타공전동블라인드,,,51900,https://plusitem.github.io/coupang-shop/images/products/바이나나_무타공전동블라인드_0f6ded9f.gif,https://link.coupang.com/a/geMuDkE1aC,2026-08-15
득템방,"메이킹AK200 단단한 매트리스 허리에 좋은 독립스프링 필로우탑 국내제작 천연양모 메트리스, 300mm, 하드",,,795000,https://plusitem.github.io/coupang-shop/images/products/메이킹AK200_단단한_매트리스_허리에_좋은_독립스프링_필로우탑_국내제작_천연양모_메트리스_300mm_하드_a4bb9975.gif,https://link.coupang.com/a/geMJnRjVKe,2026-08-15
득템방,"[매장전시 할인특가 2년보증 풀박스] 삼성전자 갤럭시 S22 99% 새상품급 자급제 공기계-어디폰 어게인디바이스 AGAINDEVICE, 256GB, 2년보증A/S 풴І텀ӏ화Ι이ӏ트 -AGAINDEVICE",,,"468,070원",https://plusitem.github.io/coupang-shop/images/products/매장전시_할인특가_2년보증_풀박스_삼성전자_갤럭시_S22_99_새상품급_자급제_공기계-어디폰_어게인디바이스__99172b10.jpg,https://link.coupang.com/a/geM41rT1vo,2026-08-15
득템방,"그린몬스터 헐리우드 48시간 오리지널 클렌즈, 947ml, 1개",,,24500,https://plusitem.github.io/coupang-shop/images/products/그린몬스터_헐리우드_48시간_오리지널_클렌즈_947ml_1개_a3386e0e.gif,https://link.coupang.com/a/geNbp6mPjo,2026-08-15
득템방,"낫띵베럴 이너클렌즈 48시간 공복 클렌즈 디톡스 ABC주스, 2개, 1L",,,16220,https://plusitem.github.io/coupang-shop/images/products/낫띵베럴_이너클렌즈_48시간_공복_클렌즈_디톡스_ABC주스_2개_1L_4df3b484.gif,https://link.coupang.com/a/geNE5l1dqS,2026-08-15
득템방,"넥스트유 브로완 USB 블루투스 동글 5.4 PC 데스크탑 수신기, 545BT, 블랙, 1개",,,4380,https://plusitem.github.io/coupang-shop/images/products/넥스트유_브로완_USB_블루투스_동글_5_4_PC_데스크탑_수신기_545BT_블랙_1개_50522f2d.gif,https://link.coupang.com/a/geOcWHzDOv,2026-08-15
득템방,"바워스앤윌킨스 Px8 S2 오버이어 노이즈 캔슬링 무선 헤드폰, 펄 블루, FP47112",,,1020050,https://plusitem.github.io/coupang-shop/images/products/바워스앤윌킨스_Px8_S2_오버이어_노이즈_캔슬링_무선_헤드폰_펄_블루_FP47112_a3c1b8d1.gif,https://link.coupang.com/a/geOtTjPdNA,2026-08-15
득템방,"휴대용 귀이개 파우치 세트 블루, 1개, 6개입",,,2100,https://plusitem.github.io/coupang-shop/images/products/휴대용_귀이개_파우치_세트_블루_1개_6개입_22d8f4c2.jpg,https://link.coupang.com/a/geOSDBp3cq,2026-08-15
득템방,"1인용소파 리클라이너 소파 접이식 소파 사무용 소파 거실 소파 침실 소파 소파, K2",,,69900,https://plusitem.github.io/coupang-shop/images/products/1인용소파_리클라이너_소파_접이식_소파_사무용_소파_거실_소파_침실_소파_소파_K2_a538edae.gif,https://link.coupang.com/a/gePb9HlfPM,2026-08-15
득템방,"마미레 전통압착 들기름 350ml, 3개",,,24860,https://plusitem.github.io/coupang-shop/images/products/마미레_전통압착_들기름_350ml_3개_54a6b57f.gif,https://link.coupang.com/a/gePrdN0PaS,2026-08-15
득템방,"3p청소솔 틈새 브러쉬 틈새 청소솔 선풍기 청소 틈새브러쉬 길이:42cm, 3개, 푸른 색",,,8900,https://image7.coupangcdn.com/image/affiliate/banner/407dd3f1186b61658fb59e69c0dc5552@2x.jpg,https://link.coupang.com/a/ghqsBWJgS4,2026-08-17
득템방,"라이프란스 고릴라 다용도 회전걸이, 그레이, 2개",,,3700,https://image13.coupangcdn.com/image/affiliate/banner/59d1c1735ce43bc75f19c35b2c30e03c@2x.jpg,https://link.coupang.com/a/ghyeEThOoK,2026-08-17
득템방,"유니트리 실리콘 식기건조대 드라잉 매트 M, 1단, 그레이, 1개",,,8500,https://img2c.coupangcdn.com/image/affiliate/banner/ce01d3824f98206ecb9087225a1867f3@2x.jpg,https://link.coupang.com/a/ghykvImx52,2026-08-17
건강노트,"두꺼비 싱크대 배수구 클리너 자동 냄새제거 세정 피톤치드향, 3개, 15g",,,16500,https://img5c.coupangcdn.com/image/affiliate/banner/ea0f1bfa5a5410ed0d1753f514a15692@2x.jpg,https://link.coupang.com/a/ghypIDGSXI,2026-08-17
득템방,"헤이리빙 가볍게 꽉잡는 다목적 실리콘 주방 냄비집게 이중 지렛대, 1세트, 그린+레드",,,8600,https://image2.coupangcdn.com/image/affiliate/banner/85811b8aa6b5e7ca52eaeeaaf9628cac@2x.jpg,https://link.coupang.com/a/ghysKR8620,2026-08-17
득템방,"코멧 양파 마늘 보관망, 2개",,,3550,https://image1.coupangcdn.com/image/affiliate/banner/90f6d53747729139e707393eeda55a48@2x.jpg,https://link.coupang.com/a/ghywfEh6RN,2026-08-17
득템방,"다온 다이소 용기 호환 수동 진공 펌프, 화이트, 1개",,,6000,https://static.coupangcdn.com/image/affiliate/banner/eb25346aac85133ff540614a735d9c41@2x.jpg,https://link.coupang.com/a/ghyACl18mG,2026-08-17
득템방,"니치유 북유럽 사용 홈식기 손잡이 도자기 접시 앞접시 세트 4P, A+B+C+D*4P, 1세트",,,14800,https://image14.coupangcdn.com/image/affiliate/banner/2aa120ff9612de5c74161fc633bbb356@2x.jpg,https://link.coupang.com/a/ghyLUeNpa8,2026-08-17
득템방,"캠핑몽 무쇠그리들 캠핑 무쇠 솥뚜껑 불판 전골 구이팬, 36cm무쇠그리들, 1개",,,39000,https://image1.coupangcdn.com/image/affiliate/banner/ec3ef5ad85f9136cf87c90bbcfbe4648@2x.jpg,https://link.coupang.com/a/ghyW3WQo5Q,2026-08-17
득템방,"3L 음식물쓰레기통 걸이형 주방 휴지통 거치형 음쓰통, 1개, 상세페이지 참조",,,9470,https://image3.coupangcdn.com/image/affiliate/banner/6125d480ab2b830b31bf3ba9375f8cab@2x.jpg,https://link.coupang.com/a/ghy4s7wcjk,2026-08-17
득템방,"라이프썸 이지클릭 USB 멀티탭 4구 3포트 3M (LFS-HA) 4종 택1 눌러뽑는 멀티탭 4000W 고용량, 1개, 다크그레이",,,25800,https://img5c.coupangcdn.com/image/affiliate/banner/0a48ede62dac68951d876b01fe0aaeab@2x.jpg,https://link.coupang.com/a/ghzR9fuuQ0,2026-08-17
득템방,"다쓱 원터치 온도 텀블러2 LED 온도 측정 표시 스텐 이지오픈 스마트 보온 보냉 용기 420ml, 1개, 420L, 원터치 아이보리",,,8800,https://image3.coupangcdn.com/image/affiliate/banner/7f508b0667b2e9c2c60366ebf1ad34fc@2x.jpg,https://link.coupang.com/a/ghz0UWH9MG,2026-08-17
인테리어,"쌍곰 퍼티 외부용 25KG 매꾸미 빠데 도배 벽지 벽 바닥 메꾸미 아크릴릭필러, 1개",,,34000,https://image13.coupangcdn.com/image/affiliate/banner/083b9ada2012967b3422ca0e56c300b8@2x.jpg,https://link.coupang.com/a/ghAsgkmHkr,2026-08-17
인테리어,"레토 무선 갓 LED 스탠드 무드등, 화이트",,,9800,https://img4a.coupangcdn.com/image/affiliate/banner/791ca51af6b69386bbb32ed3fed952bb@2x.jpg,https://link.coupang.com/a/ghA3tA95XM,2026-08-17
득템방,"코멧 홈 접이식 문걸이 빨래건조대, 화이트",,,9990,https://img1a.coupangcdn.com/image/affiliate/banner/f50bf81d610dd072ef08ace3f2d3894d@2x.jpg,https://link.coupang.com/a/ghBeJmUjM4,2026-08-17
득템방,"(Wonsiin) 최신 충전식 전동 분무기 스프레이 자동 충전식 분무기 분사기 안개분사기 집들이 선물 원예 정원 가드닝 용품, 900ml, 1개",,,23170,https://static.coupangcdn.com/image/affiliate/banner/2988c9a64fdbbb070f88b7ad6726f0b1@2x.jpg,https://link.coupang.com/a/ghBoQ5Emom,2026-08-17
득템방,"잘잘리오 어린이 테이프 디스펜서 자동 안전 커터기 레인보우 미니, 라이트퍼플, 2개",,,15610,https://image10.coupangcdn.com/image/affiliate/banner/0c2382d09b43b7a2577be396ee44f8d6@2x.jpg,https://link.coupang.com/a/ghBtvOCQay,2026-08-17
